,ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value,Flag Codes,Flags
976380,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y38,38 anni,16,già in unione civile (per decesso del partner) ,2019,2019,1,,
311148,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y39,39 anni,1,nubile/celibe,2019,2019,169914,,
311153,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y39,39 anni,2,coniugata/o,2019,2019,206031,,
311158,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y39,39 anni,3,divorziata/o,2019,2019,6938,,
311163,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y39,39 anni,4,vedova/o,2019,2019,383,,
311168,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y39,39 anni,99,totale,2019,2019,383565,,
987640,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y39,39 anni,16,già in unione civile (per decesso del partner) ,2019,2019,1,,
17922,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y4,4 anni,99,totale,2019,2019,256257,,
19370,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y4,4 anni,1,nubile/celibe,2019,2019,256257,,
323460,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y40,40 anni,1,nubile/celibe,2019,2019,171447,,
323465,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y40,40 anni,2,coniugata/o,2019,2019,224022,,
323470,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y40,40 anni,3,divorziata/o,2019,2019,8386,,
323475,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y40,40 anni,4,vedova/o,2019,2019,472,,
323480,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y40,40 anni,99,totale,2019,2019,404602,,
332052,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y41,41 anni,1,nubile/celibe,2019,2019,167591,,
332057,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y41,41 anni,2,coniugata/o,2019,2019,238204,,
332062,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y41,41 anni,4,vedova/o,2019,2019,535,,
332067,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y41,41 anni,99,totale,2019,2019,416373,,
339928,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y41,41 anni,3,divorziata/o,2019,2019,9700,,
344615,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y42,42 anni,1,nubile/celibe,2019,2019,165901,,
344620,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y42,42 anni,2,coniugata/o,2019,2019,255874,,
344625,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y42,42 anni,3,divorziata/o,2019,2019,11634,,
344630,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y42,42 anni,4,vedova/o,2019,2019,634,,
344635,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y42,42 anni,99,totale,2019,2019,434347,,
352956,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y43,43 anni,1,nubile/celibe,2019,2019,164921,,
352961,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y43,43 anni,2,coniugata/o,2019,2019,274220,,
352966,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y43,43 anni,3,divorziata/o,2019,2019,13520,,
352971,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y43,43 anni,4,vedova/o,2019,2019,841,,
352976,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y43,43 anni,99,totale,2019,2019,453871,,
363408,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y44,44 anni,1,nubile/celibe,2019,2019,162910,,
363413,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y44,44 anni,2,coniugata/o,2019,2019,292552,,
363418,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y44,44 anni,3,divorziata/o,2019,2019,15405,,
363423,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y44,44 anni,4,vedova/o,2019,2019,991,,
363428,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y44,44 anni,99,totale,2019,2019,472267,,
374221,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y45,45 anni,2,coniugata/o,2019,2019,297829,,
374226,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y45,45 anni,99,totale,2019,2019,468310,,
374577,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y45,45 anni,3,divorziata/o,2019,2019,17106,,
375117,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y45,45 anni,1,nubile/celibe,2019,2019,151835,,
375828,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y45,45 anni,4,vedova/o,2019,2019,1197,,
414020,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y46,46 anni,1,nubile/celibe,2019,2019,144629,,
414025,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y46,46 anni,2,coniugata/o,2019,2019,308276,,
414030,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y46,46 anni,3,divorziata/o,2019,2019,18616,,
414035,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y46,46 anni,4,vedova/o,2019,2019,1389,,
414040,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y46,46 anni,99,totale,2019,2019,473273,,
993740,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y46,46 anni,16,già in unione civile (per decesso del partner) ,2019,2019,1,,
393116,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y47,47 anni,1,nubile/celibe,2019,2019,136587,,
393121,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y47,47 anni,2,coniugata/o,2019,2019,316814,,
393126,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y47,47 anni,3,divorziata/o,2019,2019,20515,,
393131,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y47,47 anni,4,vedova/o,2019,2019,1622,,
393136,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y47,47 anni,99,totale,2019,2019,475915,,
403604,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y48,48 anni,1,nubile/celibe,2019,2019,126114,,
403609,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y48,48 anni,2,coniugata/o,2019,2019,321890,,
403614,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y48,48 anni,3,divorziata/o,2019,2019,21726,,
